best_reference_arm,category,chosen_arm,context,domain,effect_vs_gated,effect_vs_noalign,effect_vs_safe,experiment,gated,gated_interaction,gated_interaction_normalized,noalign,normalized_effect_vs_noalign,online_gain_vs_reference_noalign,online_regret_to_better_reference_arm,online_total_team_mean_payoff,payoff_prompt,reference_selection_regret,regret_to_better_fixed_arm,route_match,route_original,route_swapped,safe_interaction,safe_interaction_normalized,seed,selection_correct,temporal_replay_drift_gated,temporal_replay_drift_noalign
,anti,,p3_m05,,-0.45666666666666633,-0.22999999999999976,-0.22999999999999976,p0,1.8833333333333329,,,1.6566666666666663,-0.05111111111111106,,,,1.4266666666666665,,0.45666666666666633,,,,,,106,,0.0066666666666661545,0.010000000000000009
,anti,,p3_m05,,-0.6700000000000002,-0.5566666666666669,-0.5833333333333337,p0,1.8833333333333333,,,1.77,-0.12370370370370375,,,,1.2133333333333332,,0.6700000000000002,,,,,,107,,-0.16999999999999993,-0.030000000000000027
,anti,,p3_m05,,-0.5866666666666664,-0.5233333333333332,-0.5266666666666662,p0,1.9799999999999998,,,1.9166666666666665,-0.11629629629629627,,,,1.3933333333333333,,0.5866666666666664,,,,,,108,,-0.07999999999999985,-0.0366666666666664
,anti,,p3_m05,,-0.3233333333333335,-0.3866666666666667,-0.3766666666666667,p0,1.7466666666666666,,,1.8099999999999998,-0.08592592592592593,,,,1.4233333333333331,,0.3866666666666667,,,,,,109,,-0.14333333333333353,0.043333333333333446
,anti,,p3_m05,,-0.3600000000000001,-0.4533333333333338,-0.4400000000000004,p0,1.7666666666666666,,,1.8600000000000003,-0.10074074074074085,,,,1.4066666666666665,,0.4533333333333338,,,,,,110,,-0.1466666666666665,0.020000000000000018
,anti,,p3_m05,,-0.3100000000000007,-0.2366666666666668,-0.26000000000000023,p0,1.9200000000000004,,,1.8466666666666665,-0.05259259259259262,,,,1.6099999999999997,,0.3100000000000007,,,,,,111,,0.12333333333333396,-0.07000000000000006
,anti,,p3_m06,,0.27333333333333343,-0.05333333333333301,-0.05999999999999983,p0,1.1066666666666665,,,1.433333333333333,-0.026666666666666505,,,,1.38,,0.05333333333333301,,,,,,102,,-0.03333333333333344,-0.006666666666666821
,anti,,p3_m06,,0.24,-0.13999999999999968,-0.09333333333333327,p0,1.0733333333333333,,,1.453333333333333,-0.06999999999999984,,,,1.3133333333333332,,0.13999999999999968,,,,,,103,,-2.220446049250313e-16,0.03999999999999937
,anti,,p3_m06,,0.33333333333333304,-0.1599999999999997,-0.1599999999999997,p0,1.0666666666666667,,,1.5599999999999994,-0.07999999999999985,,,,1.3999999999999997,,0.1599999999999997,,,,,,104,,-0.026666666666666616,0.0799999999999994
,anti,,p3_m06,,0.16000000000000014,-0.3866666666666658,-0.36666666666666625,p0,1.1066666666666667,,,1.6533333333333327,-0.1933333333333329,,,,1.2666666666666668,,0.3866666666666658,,,,,,105,,0.05333333333333323,0.05999999999999961
,anti,,p3_m06,,0.16666666666666652,-0.19333333333333313,-0.16666666666666652,p0,1.133333333333333,,,1.4933333333333327,-0.09666666666666657,,,,1.2999999999999996,,0.19333333333333313,,,,,,106,,0.07999999999999963,0.006666666666666599
,anti,,p3_m06,,0.20666666666666678,-0.05999999999999961,-0.05999999999999961,p0,1.1133333333333333,,,1.3799999999999997,-0.029999999999999805,,,,1.32,,0.05999999999999961,,,,,,107,,0.020000000000000018,-0.006666666666666821
,anti,,p3_m06,,0.22666666666666657,-0.1399999999999999,-0.17333333333333312,p0,1.0599999999999998,,,1.4266666666666663,-0.06999999999999995,,,,1.2866666666666664,,0.1399999999999999,,,,,,108,,-0.03333333333333344,0.039999999999999813
,anti,,p3_m06,,0.2933333333333332,-0.019999999999999796,-0.09999999999999942,p0,1.0533333333333335,,,1.3666666666666665,-0.009999999999999898,,,,1.3466666666666667,,0.019999999999999796,,,,,,109,,-0.10666666666666647,-0.0066666666666663765
,anti,,p3_m06,,0.30000000000000004,2.220446049250313e-16,-0.026666666666666394,p0,1.1133333333333333,,,1.413333333333333,1.1102230246251565e-16,,,,1.4133333333333333,,-2.220446049250313e-16,,,,,,110,,0.07333333333333325,-0.006666666666666599
,anti,,p3_m06,,0.26,-0.14666666666666628,-0.16666666666666652,p0,1.1133333333333333,,,1.5199999999999996,-0.07333333333333314,,,,1.3733333333333333,,0.14666666666666628,,,,,,111,,0.046666666666666634,0.053333333333333455
,anti,,p3_m07,,1.3633333333333333,0.2633333333333334,0.28333333333333344,p0,-0.10999999999999995,,,0.99,0.07523809523809526,,,,1.2533333333333334,,-0.2633333333333334,,,,,,102,,0.20000000000000007,0.03333333333333344
,anti,,p3_m07,,1.473333333333333,-2.220446049250313e-16,0.039999999999999813,p0,-0.4099999999999999,,,1.0633333333333332,-6.344131569286608e-17,,,,1.063333333333333,,2.220446049250313e-16,,,,,,103,,-0.11333333333333323,0.019999999999999796
,anti,,p3_m07,,1.5633333333333332,0.3899999999999999,0.3899999999999999,p0,-0.4233333333333333,,,0.75,0.1114285714285714,,,,1.14,,-0.3899999999999999,,,,,,104,,-0.09333333333333332,0.00666666666666671
,anti,,p3_m07,,1.2733333333333334,0.3600000000000002,0.3833333333333335,p0,-0.07666666666666669,,,0.8366666666666666,0.10285714285714291,,,,1.1966666666666668,,-0.3600000000000002,,,,,,105,,0.14999999999999994,0.043333333333333335
,anti,,p3_m07,,1.3800000000000001,0.6333333333333334,0.6200000000000001,p0,-0.15333333333333332,,,0.5933333333333334,0.18095238095238098,,,,1.2266666666666668,,-0.6333333333333334,,,,,,106,,0.0733333333333333,-0.04999999999999993
,anti,,p3_m07,,1.49,0.28333333333333344,0.28333333333333344,p0,-0.25666666666666665,,,0.95,0.08095238095238098,,,,1.2333333333333334,,-0.28333333333333344,,,,,,107,,0.4033333333333334,0.0033333333333332993
,anti,,p3_m07,,1.2133333333333336,0.15666666666666706,0.216666666666667,p0,-0.06999999999999998,,,0.9866666666666665,0.04476190476190488,,,,1.1433333333333335,,-0.15666666666666706,,,,,,108,,0.26,0.05333333333333323
